episode,total_reward,steps,checkpoints,laps,epsilon
1,427.0,90,2,0,0.9930
2,219.5,47,1,0,0.9910
3,189.0,42,1,0,0.9890
4,118.0,35,1,0,0.9871
5,106.0,36,1,0,0.9851
6,196.5,46,1,0,0.9831
7,343.0,74,2,0,0.9812
8,279.0,60,1,0,0.9792
9,141.5,40,1,0,0.9772
10,409.0,100,2,0,0.9753
11,443.5,85,2,0,0.9733
12,144.5,32,1,0,0.9714
13,306.0,72,1,0,0.9694
14,258.0,58,1,0,0.9675
15,199.0,44,1,0,0.9656
16,309.5,65,1,0,0.9636
17,465.0,94,2,0,0.9617
18,277.5,65,1,0,0.9598
19,130.5,35,1,0,0.9579
20,228.0,52,1,0,0.9559
21,127.5,35,1,0,0.9540
22,468.0,91,2,0,0.9521
23,341.5,66,2,0,0.9502
24,477.0,95,2,0,0.9483
25,459.0,87,2,0,0.9464
26,164.5,36,1,0,0.9445
27,406.5,82,2,0,0.9426
28,144.0,33,1,0,0.9408
29,244.0,53,1,0,0.9389
30,431.0,88,2,0,0.9370
31,448.5,91,2,0,0.9351
32,182.5,41,1,0,0.9333
33,291.5,68,1,0,0.9314
34,234.0,59,1,0,0.9295
35,124.5,33,1,0,0.9277
36,197.5,49,1,0,0.9258
37,438.0,85,2,0,0.9240
38,359.0,67,2,0,0.9221
39,464.5,87,2,0,0.9203
40,115.5,32,1,0,0.9184
41,442.0,88,2,0,0.9166
42,159.5,35,1,0,0.9148
43,378.5,72,2,0,0.9129
44,479.0,91,2,0,0.9111
45,148.5,35,1,0,0.9093
46,215.0,45,1,0,0.9075
47,374.0,70,2,0,0.9056
48,449.0,85,2,0,0.9038
49,194.5,42,1,0,0.9020
50,279.0,60,1,0,0.9002
51,449.0,85,2,0,0.8984
52,168.5,39,1,0,0.8966
53,169.0,38,1,0,0.8948
54,379.5,70,2,0,0.8930
55,445.5,94,2,0,0.8913
56,421.5,87,2,0,0.8895
57,396.0,97,2,0,0.8877
58,178.5,41,1,0,0.8859
59,443.5,85,2,0,0.8841
60,268.0,74,1,0,0.8824
61,238.5,53,1,0,0.8806
62,297.5,67,1,0,0.8789
63,469.5,88,2,0,0.8771
64,377.5,74,2,0,0.8753
65,401.5,83,2,0,0.8736
66,435.5,87,2,0,0.8718
67,382.0,76,2,0,0.8701
68,459.0,87,2,0,0.8684
69,444.5,83,2,0,0.8666
70,281.5,68,1,0,0.8649
71,462.5,91,2,0,0.8632
72,451.5,88,2,0,0.8614
73,449.0,96,2,0,0.8597
74,446.5,87,2,0,0.8580
75,462.0,97,2,0,0.8563
76,184.5,40,1,0,0.8546
77,407.0,81,2,0,0.8529
78,449.0,85,2,0,0.8511
79,365.5,75,2,0,0.8494
80,462.0,97,2,0,0.8477
81,423.0,82,2,0,0.8461
82,423.5,93,2,0,0.8444
83,222.0,53,1,0,0.8427
84,201.5,52,1,0,0.8410
85,361.0,107,2,0,0.8393
86,404.0,84,2,0,0.8376
87,458.5,96,2,0,0.8359
88,429.0,81,2,0,0.8343
89,445.5,96,2,0,0.8326
90,474.0,103,2,0,0.8309
91,464.0,88,2,0,0.8293
92,429.5,80,2,0,0.8276
93,427.0,82,2,0,0.8260
94,384.0,72,2,0,0.8243
95,384.0,72,2,0,0.8227
96,474.0,90,2,0,0.8210
97,403.0,78,2,0,0.8194
98,407.0,86,2,0,0.8177
99,445.0,92,2,0,0.8161
100,220.5,53,1,0,0.8145
101,434.0,87,2,0,0.8128
102,419.5,78,2,0,0.8112
103,435.5,92,2,0,0.8096
104,474.0,90,2,0,0.8080
105,446.5,90,2,0,0.8064
106,199.5,43,1,0,0.8047
107,499.5,94,2,0,0.8031
108,446.0,91,2,0,0.8015
109,199.5,43,1,0,0.7999
110,454.0,86,2,0,0.7983
111,438.0,85,2,0,0.7967
112,410.0,75,2,0,0.7951
113,473.0,92,2,0,0.7935
114,179.0,40,1,0,0.7920
115,131.0,37,1,0,0.7904
116,187.0,46,1,0,0.7888
117,424.0,80,2,0,0.7872
118,435.5,87,2,0,0.7856
119,189.0,42,1,0,0.7841
120,444.5,93,2,0,0.7825
121,433.5,83,2,0,0.7809
122,189.5,41,1,0,0.7794
123,447.5,85,2,0,0.7778
124,448.5,86,2,0,0.7763
125,430.0,87,2,0,0.7747
126,458.0,99,2,0,0.7732
127,411.5,99,2,0,0.7716
128,223.5,64,1,0,0.7701
129,412.0,96,2,0,0.7685
130,407.5,84,2,0,0.7670
131,391.0,103,2,0,0.7655
132,469.5,88,2,0,0.7639
133,182.0,45,1,0,0.7624
134,414.0,86,2,0,0.7609
135,464.0,88,2,0,0.7594
136,394.5,81,2,0,0.7578
137,483.0,94,2,0,0.7563
138,449.5,84,2,0,0.7548
139,409.0,77,2,0,0.7533
140,254.0,55,1,0,0.7518
141,439.0,83,2,0,0.7503
142,219.5,58,1,0,0.7488
143,169.0,38,1,0,0.7473
144,179.5,39,1,0,0.7458
145,381.5,74,2,0,0.7443
146,174.5,48,1,0,0.7428
147,434.5,81,2,0,0.7413
148,440.0,81,2,0,0.7398
149,408.0,79,2,0,0.7384
150,438.5,89,2,0,0.7369
151,424.5,89,2,0,0.7354
152,419.0,79,2,0,0.7339
153,419.5,104,2,0,0.7325
154,450.0,88,2,0,0.7310
155,454.0,91,2,0,0.7296
156,379.5,75,2,0,0.7281
157,330.0,74,2,0,0.7266
158,394.0,74,2,0,0.7252
159,435.5,90,2,0,0.7237
160,459.0,87,2,0,0.7223
161,439.0,83,2,0,0.7208
162,422.0,81,2,0,0.7194
163,429.0,89,2,0,0.7180
164,466.5,91,2,0,0.7165
165,439.0,83,2,0,0.7151
166,444.5,83,2,0,0.7137
167,400.0,73,2,0,0.7122
168,439.5,82,2,0,0.7108
169,427.5,81,2,0,0.7094
170,441.5,86,2,0,0.7080
171,409.5,84,2,0,0.7066
172,429.5,80,2,0,0.7051
173,446.5,90,2,0,0.7037
174,579.5,110,2,0,0.7023
175,424.5,79,2,0,0.7009
176,429.5,80,2,0,0.6995
177,434.5,81,2,0,0.6981
178,428.0,83,2,0,0.6967
179,194.5,47,1,0,0.6953
180,389.0,73,2,0,0.6939
181,207.5,57,1,0,0.6925
182,479.5,90,2,0,0.6912
183,144.5,32,1,0,0.6898
184,445.0,82,2,0,0.6884
185,204.5,44,1,0,0.6870
186,418.0,81,2,0,0.6857
187,412.0,82,2,0,0.6843
188,438.5,84,2,0,0.6829
189,384.5,71,2,0,0.6815
190,423.5,81,2,0,0.6802
191,399.5,74,2,0,0.6788
192,424.0,80,2,0,0.6775
193,464.0,88,2,0,0.6761
194,419.0,79,2,0,0.6748
195,431.0,85,2,0,0.6734
196,429.5,80,2,0,0.6721
197,391.5,76,2,0,0.6707
198,418.0,81,2,0,0.6694
199,469.0,89,2,0,0.6680
200,436.5,85,2,0,0.6667
201,433.0,89,2,0,0.6654
202,415.0,95,2,0,0.6640
203,426.0,84,2,0,0.6627
204,447.0,91,2,0,0.6614
205,448.5,86,2,0,0.6601
206,383.5,97,2,0,0.6587
207,429.5,95,2,0,0.6574
208,399.5,79,2,0,0.6561
209,449.5,84,2,0,0.6548
210,509.5,96,2,0,0.6535
211,468.5,90,2,0,0.6522
212,196.5,54,1,0,0.6509
213,422.5,105,2,0,0.6496
214,444.5,83,2,0,0.6483
215,262.0,61,1,0,0.6470
216,420.0,77,2,0,0.6457
217,419.5,78,2,0,0.6444
218,129.5,29,1,0,0.6431
219,436.0,103,2,0,0.6418
220,435.0,118,2,0,0.6405
221,423.0,82,2,0,0.6393
222,419.0,79,2,0,0.6380
223,410.0,75,2,0,0.6367
224,449.0,85,2,0,0.6354
225,429.0,81,2,0,0.6342
226,434.5,81,2,0,0.6329
227,415.0,76,2,0,0.6316
228,430.0,79,2,0,0.6304
229,459.5,86,2,0,0.6291
230,425.0,78,2,0,0.6278
231,430.0,79,2,0,0.6266
232,439.5,82,2,0,0.6253
233,409.5,76,2,0,0.6241
234,384.5,71,2,0,0.6228
235,414.5,77,2,0,0.6216
236,406.5,79,2,0,0.6203
237,399.5,74,2,0,0.6191
238,404.0,76,2,0,0.6179
239,395.0,85,2,0,0.6166
240,447.5,97,2,0,0.6154
241,409.5,76,2,0,0.6142
242,408.5,78,2,0,0.6129
243,520.0,97,2,0,0.6117
244,420.0,77,2,0,0.6105
245,426.5,83,2,0,0.6093
246,458.5,88,2,0,0.6080
247,405.5,95,2,0,0.6068
248,390.0,71,2,0,0.6056
249,452.0,90,2,0,0.6044
250,449.0,85,2,0,0.6032
251,414.0,78,2,0,0.6020
252,434.5,81,2,0,0.6008
253,458.5,88,2,0,0.5996
254,430.0,79,2,0,0.5984
255,414.5,82,2,0,0.5972
256,184.0,41,1,0,0.5960
257,134.0,31,1,0,0.5948
258,160.0,34,1,0,0.5936
259,134.0,31,1,0,0.5924
260,126.5,32,1,0,0.5912
261,172.0,40,1,0,0.5901
262,488.0,95,2,0,0.5889
263,469.0,89,2,0,0.5877
264,428.5,82,2,0,0.5865
265,422.5,104,2,0,0.5854
266,402.0,80,2,0,0.5842
267,437.0,84,2,0,0.5830
268,506.5,150,2,0,0.5818
269,387.5,83,2,0,0.5807
270,531.5,104,2,0,0.5795
271,450.0,93,2,0,0.5784
272,392.0,75,2,0,0.5772
273,383.5,160,2,0,0.5761
274,408.5,107,2,0,0.5749
275,399.0,75,2,0,0.5737
276,419.0,79,2,0,0.5726
277,430.0,90,2,0,0.5715
278,437.5,86,2,0,0.5703
279,449.0,90,2,0,0.5692
280,427.0,82,2,0,0.5680
281,459.5,86,2,0,0.5669
282,429.5,80,2,0,0.5658
283,429.0,81,2,0,0.5646
284,424.0,80,2,0,0.5635
285,439.5,82,2,0,0.5624
286,449.0,85,2,0,0.5613
287,429.0,81,2,0,0.5601
288,434.0,82,2,0,0.5590
289,414.5,77,2,0,0.5579
290,464.0,88,2,0,0.5568
291,429.5,80,2,0,0.5557
292,449.0,85,2,0,0.5546
293,354.0,66,2,0,0.5534
294,454.0,86,2,0,0.5523
295,457.0,88,2,0,0.5512
296,414.0,78,2,0,0.5501
297,424.0,80,2,0,0.5490
298,419.0,79,2,0,0.5479
299,449.0,85,2,0,0.5468
300,437.0,84,2,0,0.5457
301,489.0,93,2,0,0.5446
302,429.5,80,2,0,0.5436
303,446.5,106,2,0,0.5425
304,440.0,97,2,0,0.5414
305,387.0,123,2,0,0.5403
306,492.5,108,2,0,0.5392
307,477.5,94,2,0,0.5381
308,439.0,83,2,0,0.5371
309,561.5,128,3,0,0.5360
310,509.0,97,2,0,0.5349
311,492.0,98,2,0,0.5339
312,429.0,81,2,0,0.5328
313,429.0,81,2,0,0.5317
314,474.5,89,2,0,0.5307
315,434.0,82,2,0,0.5296
316,424.5,79,2,0,0.5285
317,419.5,78,2,0,0.5275
318,424.0,80,2,0,0.5264
319,414.0,78,2,0,0.5254
320,466.5,94,2,0,0.5243
321,404.0,76,2,0,0.5233
322,449.5,84,2,0,0.5222
323,446.0,88,2,0,0.5212
324,444.0,84,2,0,0.5201
325,463.5,89,2,0,0.5191
326,436.5,85,2,0,0.5181
327,489.0,93,2,0,0.5170
328,434.5,81,2,0,0.5160
329,459.0,87,2,0,0.5150
330,422.5,83,2,0,0.5139
331,439.5,82,2,0,0.5129
332,479.0,91,2,0,0.5119
333,599.5,116,3,0,0.5108
334,360.0,147,2,0,0.5098
335,479.0,91,2,0,0.5088
336,454.0,86,2,0,0.5078
337,494.0,94,2,0,0.5068
338,444.0,84,2,0,0.5058
339,442.0,88,2,0,0.5048
340,414.0,78,2,0,0.5037
341,487.0,97,2,0,0.5027
342,429.0,81,2,0,0.5017
343,450.0,83,2,0,0.5007
344,469.0,89,2,0,0.4997
345,449.5,84,2,0,0.4987
346,487.0,97,2,0,0.4977
347,434.5,81,2,0,0.4967
348,474.0,90,2,0,0.4957
349,447.0,89,2,0,0.4947
350,429.0,81,2,0,0.4938
351,440.0,92,2,0,0.4928
352,476.5,96,2,0,0.4918
353,464.0,129,2,0,0.4908
354,443.5,85,2,0,0.4898
355,442.0,85,2,0,0.4888
356,444.5,83,2,0,0.4879
357,532.5,124,2,0,0.4869
358,549.0,105,2,0,0.4859
359,439.5,82,2,0,0.4849
360,474.0,90,2,0,0.4840
361,479.5,90,2,0,0.4830
362,479.5,90,2,0,0.4820
363,457.5,90,2,0,0.4811
364,874.0,152,4,0,0.4801
365,464.5,87,2,0,0.4791
366,469.5,88,2,0,0.4782
367,485.5,122,2,0,0.4772
368,432.5,85,2,0,0.4763
369,439.0,83,2,0,0.4753
370,444.0,84,2,0,0.4744
371,469.0,89,2,0,0.4734
372,504.0,96,2,0,0.4725
373,484.5,91,2,0,0.4715
374,466.0,95,2,0,0.4706
375,437.5,97,2,0,0.4697
376,436.5,88,2,0,0.4687
377,422.0,81,2,0,0.4678
378,479.0,91,2,0,0.4668
379,474.0,90,2,0,0.4659
380,454.0,86,2,0,0.4650
381,439.5,82,2,0,0.4640
382,434.0,82,2,0,0.4631
383,459.0,87,2,0,0.4622
384,481.5,108,2,0,0.4613
385,429.0,81,2,0,0.4603
386,459.0,87,2,0,0.4594
387,469.0,89,2,0,0.4585
388,464.0,88,2,0,0.4576
389,442.5,87,2,0,0.4567
390,443.5,85,2,0,0.4558
391,425.0,88,2,0,0.4548
392,429.0,81,2,0,0.4539
393,204.0,45,1,0,0.4530
394,398.5,87,2,0,0.4521
395,487.5,137,2,0,0.4512
396,409.0,77,2,0,0.4503
397,387.5,92,2,0,0.4494
398,419.0,79,2,0,0.4485
399,409.5,76,2,0,0.4476
400,419.0,79,2,0,0.4467
401,554.5,105,2,0,0.4458
402,434.5,86,2,0,0.4449
403,438.5,103,2,0,0.4440
404,439.0,83,2,0,0.4432
405,459.0,87,2,0,0.4423
406,439.0,83,2,0,0.4414
407,429.5,85,2,0,0.4405
408,431.5,84,2,0,0.4396
409,388.0,103,2,0,0.4387
410,443.5,85,2,0,0.4379
411,454.0,86,2,0,0.4370
412,430.0,79,2,0,0.4361
413,420.0,77,2,0,0.4352
414,434.5,81,2,0,0.4344
415,459.5,86,2,0,0.4335
416,590.0,102,3,0,0.4326
417,485.0,90,2,0,0.4318
418,487.5,93,2,0,0.4309
419,214.5,46,1,0,0.4301
420,429.0,81,2,0,0.4292
421,424.5,79,2,0,0.4283
422,565.0,106,2,0,0.4275
423,444.5,83,2,0,0.4266
424,449.5,84,2,0,0.4258
425,594.5,113,2,0,0.4249
426,865.0,148,4,0,0.4241
427,415.0,76,2,0,0.4232
428,444.0,84,2,0,0.4224
429,407.0,81,2,0,0.4215
430,471.5,161,2,0,0.4207
431,470.5,94,2,0,0.4198
432,436.0,112,2,0,0.4190
433,441.0,104,2,0,0.4182
434,537.5,97,3,0,0.4173
435,565.0,105,3,0,0.4165
436,459.5,86,2,0,0.4157
437,554.0,97,3,0,0.4148
438,574.0,101,3,0,0.4140
439,464.5,87,2,0,0.4132
440,494.0,94,2,0,0.4123
441,445.0,93,2,0,0.4115
442,471.5,95,2,0,0.4107
443,531.5,95,3,0,0.4099
444,446.5,116,2,0,0.4091
445,480.0,124,2,0,0.4082
446,474.0,90,2,0,0.4074
447,462.0,101,2,0,0.4066
448,451.5,121,2,0,0.4058
449,556.0,101,3,0,0.4050
450,462.0,89,2,0,0.4042
451,444.0,84,2,0,0.4034
452,549.0,96,3,0,0.4026
453,449.0,85,2,0,0.4018
454,519.0,99,2,0,0.4009
455,699.5,134,2,0,0.4001
456,439.5,82,2,0,0.3993
457,494.0,94,2,0,0.3985
458,438.0,85,2,0,0.3978
459,442.5,87,2,0,0.3970
460,564.0,99,3,0,0.3962
461,1093.0,189,5,0,0.3954
462,565.0,97,3,0,0.3946
463,494.0,94,2,0,0.3938
464,392.5,77,2,0,0.3930
465,404.0,76,2,0,0.3922
466,464.0,88,2,0,0.3914
467,574.0,101,3,0,0.3906
468,539.0,94,3,0,0.3899
469,431.5,84,2,0,0.3891
470,434.0,82,2,0,0.3883
471,449.0,85,2,0,0.3875
472,689.0,124,3,0,0.3868
473,551.5,156,3,0,0.3860
474,579.5,123,3,0,0.3852
475,459.0,87,2,0,0.3844
476,464.5,87,2,0,0.3837
477,463.5,89,2,0,0.3829
478,481.5,99,2,0,0.3821
479,474.5,89,2,0,0.3814
480,469.0,89,2,0,0.3806
481,484.0,92,2,0,0.3799
482,546.5,107,2,0,0.3791
483,399.0,75,2,0,0.3783
484,463.5,96,2,0,0.3776
485,423.5,114,2,0,0.3768
486,545.0,93,3,0,0.3761
487,425.0,78,2,0,0.3753
488,449.5,84,2,0,0.3746
489,494.5,93,2,0,0.3738
490,470.0,87,2,0,0.3731
491,499.0,95,2,0,0.3723
492,435.0,80,2,0,0.3716
493,450.0,83,2,0,0.3708
494,440.0,81,2,0,0.3701
495,465.0,86,2,0,0.3694
496,464.0,88,2,0,0.3686
497,470.0,87,2,0,0.3679
498,509.0,88,3,0,0.3671
499,429.5,80,2,0,0.3664
500,449.5,84,2,0,0.3657
501,439.5,82,2,0,0.3649
502,409.5,76,2,0,0.3642
503,553.5,98,3,0,0.3635
504,439.0,83,2,0,0.3628
505,454.5,85,2,0,0.3620
506,880.0,151,4,0,0.3613
507,464.0,88,2,0,0.3606
508,434.5,81,2,0,0.3599
509,404.5,75,2,0,0.3591
510,454.0,86,2,0,0.3584
511,468.5,90,2,0,0.3577
512,429.5,80,2,0,0.3570
513,405.0,74,2,0,0.3563
514,419.5,78,2,0,0.3556
515,369.5,68,2,0,0.3549
516,425.0,78,2,0,0.3541
517,489.5,92,2,0,0.3534
518,430.0,79,2,0,0.3527
519,412.0,79,2,0,0.3520
520,429.5,80,2,0,0.3513
521,590.0,102,3,0,0.3506
522,524.5,90,3,0,0.3499
523,464.5,87,2,0,0.3492
524,404.5,75,2,0,0.3485
525,470.0,87,2,0,0.3478
526,429.5,80,2,0,0.3471
527,480.0,89,2,0,0.3464
528,454.5,85,2,0,0.3457
529,480.0,89,2,0,0.3450
530,404.0,76,2,0,0.3444
531,450.0,83,2,0,0.3437
532,454.5,85,2,0,0.3430
533,475.0,88,2,0,0.3423
534,470.0,87,2,0,0.3416
535,559.5,97,3,0,0.3409
536,460.0,85,2,0,0.3402
537,445.0,82,2,0,0.3396
538,445.0,82,2,0,0.3389
539,485.0,90,2,0,0.3382
540,570.0,98,3,0,0.3375
541,580.0,100,3,0,0.3369
542,520.0,88,3,0,0.3362
543,550.0,94,3,0,0.3355
544,544.5,94,3,0,0.3348
545,469.5,88,2,0,0.3342
546,470.0,87,2,0,0.3335
547,529.0,92,3,0,0.3328
548,579.0,102,3,0,0.3322
549,603.5,108,3,0,0.3315
550,198.0,46,1,0,0.3308
551,1034.5,174,5,0,0.3302
552,429.5,80,2,0,0.3295
553,463.0,90,2,0,0.3289
554,459.0,87,2,0,0.3282
555,473.5,91,2,0,0.3275
556,429.0,81,2,0,0.3269
557,492.5,97,2,0,0.3262
558,494.0,94,2,0,0.3256
559,879.0,153,4,0,0.3249
560,564.5,122,3,0,0.3243
561,544.5,94,3,0,0.3236
562,479.0,91,2,0,0.3230
563,552.0,127,3,0,0.3223
564,549.0,96,3,0,0.3217
565,860.0,147,4,0,0.3211
566,470.0,87,2,0,0.3204
567,549.0,96,3,0,0.3198
568,585.0,101,3,0,0.3191
569,484.5,91,2,0,0.3185
570,475.0,88,2,0,0.3179
571,534.0,93,3,0,0.3172
572,545.0,93,3,0,0.3166
573,159.5,35,1,0,0.3160
574,419.0,79,2,0,0.3153
575,483.5,93,2,0,0.3147
576,1139.5,195,5,0,0.3141
577,705.0,125,3,0,0.3134
578,584.5,102,3,0,0.3128
579,1090.0,184,5,0,0.3122
580,1094.5,186,5,0,0.3116
581,1084.5,184,5,0,0.3109
582,558.5,99,3,0,0.3103
583,420.0,77,2,0,0.3097
584,1075.0,181,5,0,0.3091
585,879.5,152,4,0,0.3085
586,545.0,93,3,0,0.3078
587,540.0,92,3,0,0.3072
588,912.5,160,4,0,0.3066
589,910.0,157,4,0,0.3060
590,459.5,86,2,0,0.3054
591,435.0,80,2,0,0.3048
592,1060.0,178,5,0,0.3042
593,1095.0,185,5,0,0.3036
594,1055.0,177,5,0,0.3029
595,454.5,85,2,0,0.3023
596,450.0,83,2,0,0.3017
597,415.0,76,2,0,0.3011
598,384.5,71,2,0,0.3005
599,444.5,83,2,0,0.2999
600,460.0,85,2,0,0.2993
601,177.0,41,1,0,0.2987
602,444.5,83,2,0,0.2981
603,465.0,86,2,0,0.2975
604,165.0,35,1,0,0.2969
605,425.0,78,2,0,0.2963
606,393.5,75,2,0,0.2958
607,610.0,115,2,0,0.2952
608,884.5,153,4,0,0.2946
609,469.5,88,2,0,0.2940
610,450.0,83,2,0,0.2934
611,438.0,85,2,0,0.2928
612,465.0,86,2,0,0.2922
613,445.0,82,2,0,0.2916
614,425.0,78,2,0,0.2911
615,879.5,152,4,0,0.2905
616,1088.0,188,5,0,0.2899
617,424.5,79,2,0,0.2893
618,432.0,83,2,0,0.2887
619,465.0,86,2,0,0.2882
620,465.0,86,2,0,0.2876
621,450.0,83,2,0,0.2870
622,378.5,72,2,0,0.2864
623,595.0,103,3,0,0.2859
624,529.5,91,3,0,0.2853
625,435.0,80,2,0,0.2847
626,1045.0,175,5,0,0.2841
627,1124.5,192,5,0,0.2836
628,210.0,44,1,0,0.2830
629,464.0,88,2,0,0.2824
630,425.0,78,2,0,0.2819
631,474.0,90,2,0,0.2813
632,522.5,109,3,0,0.2808
633,395.0,96,2,0,0.2802
634,1189.0,224,5,0,0.2796
635,878.5,175,4,0,0.2791
636,991.0,188,4,0,0.2785
637,454.5,109,2,0,0.2780
638,439.0,83,2,0,0.2774
639,438.0,85,2,0,0.2768
640,463.5,89,2,0,0.2763
641,399.0,75,2,0,0.2757
642,479.5,90,2,0,0.2752
643,494.0,94,2,0,0.2746
644,917.5,164,4,0,0.2741
645,165.0,35,1,0,0.2735
646,455.0,84,2,0,0.2730
647,1265.0,219,5,0,0.2724
648,1099.5,187,5,0,0.2719
649,1060.0,187,4,0,0.2714
650,444.0,84,2,0,0.2708
651,620.0,108,3,0,0.2703
652,449.5,84,2,0,0.2697
653,449.0,85,2,0,0.2692
654,1089.0,186,5,0,0.2687
655,1059.5,179,5,0,0.2681
656,1058.0,182,5,0,0.2676
657,579.0,102,3,0,0.2670
658,474.5,89,2,0,0.2665
659,989.0,175,4,0,0.2660
660,429.0,81,2,0,0.2654
661,434.0,82,2,0,0.2649
662,449.0,85,2,0,0.2644
663,879.5,152,4,0,0.2639
664,682.5,126,3,0,0.2633
665,478.0,93,2,0,0.2628
666,579.0,102,3,0,0.2623
667,458.0,89,2,0,0.2618
668,1068.5,183,5,0,0.2612
669,469.0,89,2,0,0.2607
670,469.0,89,2,0,0.2602
671,844.0,146,4,0,0.2597
672,486.5,95,2,0,0.2591
673,426.5,83,2,0,0.2586
674,886.5,178,4,0,0.2581
675,375.0,90,2,0,0.2576
676,526.0,109,3,0,0.2571
677,425.0,78,2,0,0.2566
678,604.0,116,2,0,0.2561
679,585.0,110,2,0,0.2555
680,1085.0,183,5,0,0.2550
681,874.0,152,4,0,0.2545
682,889.5,154,4,0,0.2540
683,909.5,158,4,0,0.2535
684,449.0,85,2,0,0.2530
685,580.0,100,3,0,0.2525
686,450.0,83,2,0,0.2520
687,1065.0,179,5,0,0.2515
688,600.0,104,3,0,0.2510
689,1110.0,188,5,0,0.2505
690,1179.5,203,5,0,0.2500
691,1329.0,234,5,0,0.2495
692,1114.0,191,5,0,0.2490
693,459.5,86,2,0,0.2485
694,444.5,83,2,0,0.2480
695,234.0,51,1,0,0.2475
696,399.0,75,2,0,0.2470
697,454.0,86,2,0,0.2465
698,454.0,86,2,0,0.2460
699,399.5,74,2,0,0.2455
700,409.0,77,2,0,0.2450
701,479.0,91,2,0,0.2445
702,579.0,102,3,0,0.2440
703,449.0,85,2,0,0.2436
704,649.0,125,2,0,0.2431
705,769.0,140,3,0,0.2426
706,574.5,127,3,0,0.2421
707,568.0,212,3,0,0.2416
708,158.0,54,1,0,0.2411
709,141.5,49,1,0,0.2406
710,479.0,91,2,0,0.2402
711,640.0,120,3,0,0.2397
712,1064.5,180,5,0,0.2392
713,939.0,165,4,0,0.2387
714,499.0,95,2,0,0.2382
715,579.5,101,3,0,0.2378
716,460.5,92,2,0,0.2373
717,879.5,152,4,0,0.2368
718,524.0,100,2,0,0.2363
719,1134.0,195,5,0,0.2359
720,474.0,90,2,0,0.2354
721,949.5,166,4,0,0.2349
722,879.0,153,4,0,0.2345
723,109.0,26,1,0,0.2340
